Linguagens,Quantidade de Repositorios
Python,23
TypeScript,17
Sem linguagem,14
JavaScript,10
Shell,5
C++,5
Rust,5
Go,5
C,3
HTML,3
Markdown,2
Jupyter Notebook,2
Batchfile,1
Dart,1
MDX,1
Java,1
C#,1
Swift,1
