Metrica;Media_IA;Media_Manual;Mediana_IA;Mediana_Manual;Estatistica_W;P_Value;Significativo (p < 0.05)
Tempo_Final_Considerado (Minutos);11,93;15,05;8,8;15,25;0,0;0,25;False
Taxa_Sucesso_Testes (%);82,5;86,67;95,0;95,0;7,5;1,0;False
