Repositorio,Criado Em,Estrelas,Linguagem Primaria,Linguagens
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,141705,TypeScript,"TypeScript, JavaScript, Python, CSS"
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140918,Python,"Python, Shell, Makefile, ActionScript, Batchfile"
anthropics/claude-code,2025-02-22T17:41:21Z,140820,Python,"Python, Shell, TypeScript, PowerShell, Dockerfile"
msitarzewski/agency-agents,2025-10-13T12:12:29Z,140513,Shell,"Shell, Python, PowerShell"
microsoft/PowerToys,2019-05-01T17:44:02Z,137608,C,"C, C#, C++, PowerShell, Python"
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,136689,TypeScript,"TypeScript, Rust, JavaScript, NSIS, SCSS"
golang/go,2014-08-19T04:33:40Z,135713,Go,"Go, Assembly, HTML, C, Shell"
iptv-org/iptv,2018-11-14T22:00:57Z,135514,TypeScript,"TypeScript, JavaScript"
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135287,Markdown,Markdown
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,131721,Python,"Python, TypeScript, JavaScript, HTML, CSS"
ripienaar/free-for-dev,2015-03-18T21:06:26Z,131387,HTML,HTML
krahets/hello-algo,2022-11-04T11:08:34Z,129311,Java,"Java, Swift, C++, JavaScript, Go"
excalidraw/excalidraw,2020-01-02T01:04:43Z,129222,TypeScript,"TypeScript, SCSS, MDX, JavaScript, HTML"
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128654,JavaScript,"JavaScript, SCSS, Astro, CSS, Shell"
garrytan/gstack,2026-03-11T21:22:45Z,127153,TypeScript,"TypeScript, Go Template, Shell, JavaScript, CSS"
react/react-native,2015-01-09T18:10:16Z,126308,C++,"C++, Kotlin, JavaScript, Objective-C++, Objective-C"
github/spec-kit,2025-08-21T22:54:31Z,125977,Python,"Python, Shell, PowerShell"
farion1231/cc-switch,2025-08-04T14:16:16Z,125928,Rust,"Rust, TypeScript, HTML, JavaScript, CSS"
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,125357,Python,"Python, GLSL, Batchfile, Mako"
kubernetes/kubernetes,2014-06-06T22:56:04Z,124385,Go,"Go, Shell, PowerShell, Makefile, Dockerfile"
ggml-org/llama.cpp,2023-03-10T18:58:00Z,123203,C++,"C++, C, Python, Cuda, TypeScript"
electron/electron,2013-04-12T01:47:36Z,122407,C++,"C++, TypeScript, Objective-C++, JavaScript, Python"
shadcn-ui/ui,2023-01-04T12:43:27Z,120920,TypeScript,"TypeScript, MDX, CSS, JavaScript, Astro"
rustdesk/rustdesk,2020-09-28T15:36:08Z,119959,Rust,"Rust, Dart, C++, Python, C"
nodejs/node,2014-11-26T19:57:11Z,118845,JavaScript,"JavaScript, C++, Python, C, HTML"
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118235,Sem linguagem,Sem linguagem
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,117862,Sem linguagem,Sem linguagem
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,117167,Jupyter Notebook,"Jupyter Notebook, Python, JavaScript, TypeScript, Shell"
godotengine/godot,2014-01-04T16:05:36Z,115410,C++,"C++, C#, Java, C, GLSL"
rust-lang/rust,2010-06-16T20:39:03Z,115383,Rust,"Rust, HTML, Shell, C, JavaScript"
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,114957,Python,"Python, JavaScript, TypeScript, HTML, Shell"
mrdoob/three.js,2010-03-23T18:58:01Z,114380,JavaScript,"JavaScript, HTML, Roff, CSS"
2dust/v2rayN,2019-07-30T03:47:24Z,113472,C#,"C#, Shell"
d3/d3,2010-09-27T17:22:42Z,113424,Shell,"Shell, JavaScript"
microsoft/TypeScript,2014-06-17T15:28:39Z,110113,TypeScript,"TypeScript, JavaScript, Shell"
immich-app/immich,2022-02-03T15:56:27Z,110068,TypeScript,"TypeScript, Dart, Svelte, Python, Kotlin"
tauri-apps/tauri,2019-07-13T09:09:37Z,110050,Rust,"Rust, TypeScript, NSIS, Kotlin, JavaScript"
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,109636,Swift,"Swift, Dockerfile"
axios/axios,2014-08-18T22:30:27Z,109241,JavaScript,"JavaScript, TypeScript, HTML"
fatedier/frp,2015-12-21T15:24:59Z,108661,Go,"Go, Vue, TypeScript, CSS, Shell"
