Repositorio,Criado Em,Estrelas,Pull Requests Aceitas
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,541197,157
sindresorhus/awesome,2014-07-11T13:42:37Z,497735,701
public-apis/public-apis,2016-03-20T23:49:42Z,465641,2147
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,454326,29115
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394775,7423
openclaw/openclaw,2025-11-24T10:16:47Z,386788,26345
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364930,4399
donnemartin/system-design-primer,2017-02-26T16:15:28Z,364872,210
jwasham/coding-interview-university,2016-06-06T02:34:12Z,359224,415
vinta/awesome-python,2014-06-27T21:00:06Z,314905,741
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,313699,0
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,279918,194
996icu/996.ICU,2019-03-26T07:31:14Z,276723,1072
obra/superpowers,2025-10-09T19:45:18Z,274089,167
react/react,2013-05-24T16:15:54Z,247418,13034
torvalds/linux,2011-09-04T22:48:12Z,243308,0
affaan-m/ECC,2026-01-18T00:51:51Z,241119,997
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,239159,122
NousResearch/hermes-agent,2025-07-22T22:22:28Z,232937,11254
TheAlgorithms/Python,2016-07-16T09:44:01Z,223874,3088
mattpocock/skills,2026-02-03T11:15:53Z,223251,93
vuejs/vue,2013-07-29T03:24:51Z,210236,1136
ossu/computer-science,2014-05-04T00:18:39Z,208169,315
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,203868,12
n8n-io/n8n,2019-06-22T09:24:21Z,201189,20192
anomalyco/opencode,2025-04-30T20:08:00Z,199132,7350
tensorflow/tensorflow,2015-11-07T01:19:20Z,197066,48928
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196527,309
ultraworkers/claw-code,2026-03-31T08:58:08Z,195086,143
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,194307,0
