Repositorio,Criado Em,Estrelas,Linguagens,Frequencia issues
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,541193,Markdown,10 issues/mês
sindresorhus/awesome,2014-07-11T13:42:37Z,497727,Sem linguagem,1 issues/mês
public-apis/public-apis,2016-03-20T23:49:42Z,465615,"Python, Shell",150 issues/mês
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,454326,"TypeScript, JavaScript, CSS, Dockerfile, HCL",150 issues/mês
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,394775,"Python, HTML",8 issues/mês
openclaw/openclaw,2025-11-24T10:16:47Z,386787,"TypeScript, Swift, Kotlin, JavaScript, Shell",Múltiplas issues no mesmo dia
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,364928,"TypeScript, JavaScript",12 issues/mês
donnemartin/system-design-primer,2017-02-26T16:15:28Z,364868,"Python, Shell",25 issues/mês
jwasham/coding-interview-university,2016-06-06T02:34:12Z,359223,Sem linguagem,2 issues/mês
vinta/awesome-python,2014-06-27T21:00:06Z,314898,"Python, HTML, CSS, JavaScript, Makefile",Sem issues
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,313689,Sem linguagem,Sem issues
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,279914,Python,3 issues/mês
996icu/996.ICU,2019-03-26T07:31:14Z,276722,Sem linguagem,Sem issues
obra/superpowers,2025-10-09T19:45:18Z,274080,"Shell, JavaScript, Python, TypeScript, HTML",100 issues/mês
react/react,2013-05-24T16:15:54Z,247418,"JavaScript, Rust, TypeScript, HTML, CSS",150 issues/mês
torvalds/linux,2011-09-04T22:48:12Z,243303,"C, Assembly, Rust, Shell, Python",Sem issues
affaan-m/ECC,2026-01-18T00:51:51Z,241115,"JavaScript, Rust, Python, Shell, TypeScript",50 issues/mês
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,239154,Sem linguagem,Sem issues
NousResearch/hermes-agent,2025-07-22T22:22:28Z,232930,"Python, TypeScript, JavaScript, TeX, Shell",Múltiplas issues no mesmo dia
TheAlgorithms/Python,2016-07-16T09:44:01Z,223873,"Python, Shell, Dockerfile",10 issues/mês
mattpocock/skills,2026-02-03T11:15:53Z,223192,"Shell, JavaScript",Múltiplas issues no mesmo dia
vuejs/vue,2013-07-29T03:24:51Z,210236,"TypeScript, JavaScript, HTML, CSS, Shell",2 issues/mês
ossu/computer-science,2014-05-04T00:18:39Z,208169,HTML,1 issues/mês
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,203862,Sem linguagem,Sem issues
n8n-io/n8n,2019-06-22T09:24:21Z,201186,"TypeScript, Vue, JavaScript, SCSS, Python",Múltiplas issues no mesmo dia
anomalyco/opencode,2025-04-30T20:08:00Z,199123,"TypeScript, MDX, CSS, HTML, JavaScript",Múltiplas issues no mesmo dia
tensorflow/tensorflow,2015-11-07T01:19:20Z,197065,"C++, Python, MLIR, Starlark, HTML",300 issues/mês
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,196526,JavaScript,0 issues/mês
ultraworkers/claw-code,2026-03-31T08:58:08Z,195085,"Rust, Python, Shell, HTML, Dockerfile",6 issues/mês
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,194306,Markdown,Sem issues
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189268,"Shell, Python, Makefile",13 issues/mês
microsoft/vscode,2015-09-03T20:23:38Z,188932,"TypeScript, CSS, JavaScript, Rust, HTML",Múltiplas issues no mesmo dia
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,187570,"Batchfile, HTML",33 issues/mês
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186687,"Python, TypeScript, JavaScript, Shell, PLpgSQL",20 issues/mês
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,185586,"Python, Makefile, Shell, Dockerfile, Batchfile",300 issues/mês
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185495,Sem linguagem,0 issues/mês
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185379,"Jupyter Notebook, Python, HTML, Java",3 issues/mês
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184713,Sem linguagem,1 issues/mês
avelino/awesome-go,2014-07-06T13:42:15Z,181535,Go,6 issues/mês
ollama/ollama,2023-06-26T19:39:32Z,178966,"Go, C, TypeScript, C++, CMake",Múltiplas issues no mesmo dia
flutter/flutter,2015-03-06T22:54:58Z,178496,"Dart, C++, Objective-C++, Java, Objective-C",Múltiplas issues no mesmo dia
github/gitignore,2010-11-08T20:17:14Z,175376,Sem linguagem,Sem issues
microsoft/markitdown,2024-11-13T19:56:40Z,174661,"Python, Dockerfile",42 issues/mês
twbs/bootstrap,2011-07-29T21:19:00Z,174614,"MDX, JavaScript, Astro, SCSS, CSS",11 issues/mês
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,171770,Python,150 issues/mês
anthropics/skills,2025-09-22T15:53:31Z,170438,"Python, HTML, Shell, JavaScript",25 issues/mês
firecrawl/firecrawl,2024-04-15T21:02:29Z,169499,"TypeScript, Python, Rust, Java, PHP",50 issues/mês
f/prompts.chat,2022-12-05T13:54:13Z,167561,"HTML, MDX, TypeScript, JavaScript, Shell",3 issues/mês
deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,166079,"TypeScript, CSS, Python, JavaScript, Shell",Sem issues
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164583,"Python, JavaScript, CSS, HTML, Shell",4 issues/mês
huggingface/transformers,2018-10-29T13:56:00Z,164259,"Python, Dockerfile, Makefile, Shell, Jsonnet",300 issues/mês
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162126,Sem linguagem,0 issues/mês
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157887,JavaScript,4 issues/mês
langflow-ai/langflow,2023-02-08T22:28:03Z,153471,"Python, TypeScript, JavaScript, CSS, Makefile",42 issues/mês
langgenius/dify,2023-04-12T07:40:24Z,152911,"TypeScript, Python, JavaScript, Go, CSS",300 issues/mês
open-webui/open-webui,2023-10-06T22:08:27Z,149244,"Python, Svelte, JavaScript, TypeScript, CSS",Múltiplas issues no mesmo dia
airbnb/javascript,2012-11-01T23:13:50Z,148130,JavaScript,2 issues/mês
Genymobile/scrcpy,2017-11-21T18:00:27Z,147916,"C, Java, Roff, Shell, Meson",30 issues/mês
msitarzewski/agency-agents,2025-10-13T12:12:29Z,146254,"Shell, Python, PowerShell",11 issues/mês
langchain-ai/langchain,2022-10-17T02:58:36Z,144571,"Python, Makefile, Shell, XSLT, HTML",Múltiplas issues no mesmo dia
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142927,Sem linguagem,3 issues/mês
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,142001,"TypeScript, JavaScript, Python, CSS",1 issues/mês
anthropics/claude-code,2025-02-22T17:41:21Z,141996,"Python, Shell, TypeScript, PowerShell, Dockerfile",Múltiplas issues no mesmo dia
vercel/next.js,2016-10-05T23:32:51Z,141868,"JavaScript, TypeScript, Rust, MDX, CSS",Múltiplas issues no mesmo dia
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140975,"Python, Shell, Makefile, ActionScript, Batchfile",4 issues/mês
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,138840,"TypeScript, Rust, JavaScript, NSIS, SCSS",300 issues/mês
microsoft/PowerToys,2019-05-01T17:44:02Z,137883,"C, C#, C++, PowerShell, Python",Múltiplas issues no mesmo dia
iptv-org/iptv,2018-11-14T22:00:57Z,136184,"TypeScript, JavaScript",Múltiplas issues no mesmo dia
golang/go,2014-08-19T04:33:40Z,135905,"Go, Assembly, HTML, C, Shell",Múltiplas issues no mesmo dia
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135384,Markdown,3 issues/mês
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,133220,"Python, TypeScript, JavaScript, HTML, CSS",13 issues/mês
ripienaar/free-for-dev,2015-03-18T21:06:26Z,132200,HTML,Sem issues
github/spec-kit,2025-08-21T22:54:31Z,130287,"Python, Shell, PowerShell",150 issues/mês
excalidraw/excalidraw,2020-01-02T01:04:43Z,130019,"TypeScript, SCSS, MDX, JavaScript, HTML",27 issues/mês
krahets/hello-algo,2022-11-04T11:08:34Z,129481,"Java, Swift, C++, JavaScript, Go",2 issues/mês
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128742,"JavaScript, SCSS, Astro, CSS, Shell",0 issues/mês
garrytan/gstack,2026-03-11T21:22:45Z,128705,"TypeScript, Go Template, Shell, JavaScript, CSS",300 issues/mês
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,128435,"Python, GLSL, Batchfile, Mako",150 issues/mês
farion1231/cc-switch,2025-08-04T14:16:16Z,128276,"Rust, TypeScript, HTML, JavaScript, CSS",Múltiplas issues no mesmo dia
react/react-native,2015-01-09T18:10:16Z,126365,"C++, Kotlin, JavaScript, Objective-C++, Objective-C",60 issues/mês
ggml-org/llama.cpp,2023-03-10T18:58:00Z,124690,"C++, C, Python, Cuda, TypeScript",Múltiplas issues no mesmo dia
kubernetes/kubernetes,2014-06-06T22:56:04Z,124600,"Go, Shell, PowerShell, Makefile, Dockerfile",300 issues/mês
electron/electron,2013-04-12T01:47:36Z,122578,"C++, TypeScript, Objective-C++, JavaScript, Python",75 issues/mês
shadcn-ui/ui,2023-01-04T12:43:27Z,121648,"TypeScript, MDX, CSS, JavaScript, Astro",37 issues/mês
rustdesk/rustdesk,2020-09-28T15:36:08Z,121252,"Rust, Dart, C++, Python, C",75 issues/mês
nodejs/node,2014-11-26T19:57:11Z,119018,"JavaScript, C++, Python, C, HTML",150 issues/mês
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,118623,Sem linguagem,Sem issues
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118400,Sem linguagem,Sem issues
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,118171,"Python, JavaScript, TypeScript, HTML, Shell",7 issues/mês
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,118097,"Jupyter Notebook, Python, JavaScript, TypeScript, Shell",5 issues/mês
godotengine/godot,2014-01-04T16:05:36Z,115872,"C++, C#, Java, C, GLSL",Múltiplas issues no mesmo dia
rust-lang/rust,2010-06-16T20:39:03Z,115610,"Rust, HTML, Shell, C, JavaScript",300 issues/mês
mrdoob/three.js,2010-03-23T18:58:01Z,114613,"JavaScript, HTML, Roff, CSS",100 issues/mês
2dust/v2rayN,2019-07-30T03:47:24Z,114221,"C#, Shell",150 issues/mês
d3/d3,2010-09-27T17:22:42Z,113496,"Shell, JavaScript",1 issues/mês
immich-app/immich,2022-02-03T15:56:27Z,111692,"TypeScript, Dart, Svelte, Python, Kotlin",300 issues/mês
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,111428,"Swift, Dockerfile",14 issues/mês
tauri-apps/tauri,2019-07-13T09:09:37Z,110362,"Rust, TypeScript, NSIS, Kotlin, JavaScript",37 issues/mês
microsoft/TypeScript,2014-06-17T15:28:39Z,110207,"TypeScript, JavaScript, Shell",75 issues/mês
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,110074,"Python, CSS, Dockerfile, Shell, Batchfile",27 issues/mês
browser-use/browser-use,2024-10-31T16:00:56Z,109752,"Python, Shell, Dockerfile, HTML",30 issues/mês
VoltAgent/awesome-design-md,2026-03-31T16:37:01Z,109263,Sem linguagem,9 issues/mês
axios/axios,2014-08-18T22:30:27Z,109199,"JavaScript, TypeScript, HTML",13 issues/mês
fatedier/frp,2015-12-21T15:24:59Z,108881,"Go, Vue, TypeScript, CSS, Shell",20 issues/mês
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,108843,Shell,0 issues/mês
denoland/deno,2018-05-15T01:34:26Z,108259,"Rust, TypeScript, JavaScript, C, HTML",300 issues/mês
Graphify-Labs/graphify,2026-04-03T15:49:07Z,108233,"Python, Dockerfile",Múltiplas issues no mesmo dia
supabase/supabase,2019-10-12T05:56:49Z,108161,"TypeScript, MDX, JavaScript, CSS, Shell",300 issues/mês
openai/whisper,2022-09-16T20:02:54Z,107617,Python,Sem issues
openai/codex,2025-04-13T05:37:54Z,106826,"Rust, Python, Starlark, TypeScript, Shell",Múltiplas issues no mesmo dia
google-gemini/gemini-cli,2025-04-17T17:04:31Z,106576,"TypeScript, JavaScript, Python, Shell, C#",300 issues/mês
DietrichGebert/ponytail,2026-06-12T00:52:37Z,105821,"JavaScript, Python, PowerShell, Shell",21 issues/mês
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,105589,"Dockerfile, TypeScript",1 issues/mês
microsoft/terminal,2017-08-11T18:38:22Z,104633,"C++, C#, C, PowerShell, Batchfile",42 issues/mês
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,104346,Python,60 issues/mês
react/create-react-app,2016-07-17T14:55:11Z,103287,"JavaScript, Shell, CSS, HTML, AppleScript",3 issues/mês
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,103007,"Jupyter Notebook, Python, Dockerfile",2 issues/mês
pytorch/pytorch,2016-08-13T05:26:41Z,102482,"Python, C++, Cuda, C, Objective-C++",Múltiplas issues no mesmo dia
Anduin2017/HowToCook,2020-02-29T10:43:49Z,101894,Sem linguagem,6 issues/mês
neovim/neovim,2014-01-31T13:39:22Z,101864,"Vim Script, Lua, C, CMake, Zig",100 issues/mês
fastapi/fastapi,2018-12-08T08:21:47Z,101697,"Python, JavaScript, Shell, HTML, CSS",5 issues/mês
angular/angular,2014-09-18T16:12:01Z,101006,"TypeScript, JavaScript, HTML, Starlark, CSS",150 issues/mês
ruanyf/weekly,2018-10-13T12:36:07Z,100780,Sem linguagem,Múltiplas issues no mesmo dia
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,100263,Sem linguagem,0 issues/mês
JuliusBrussee/caveman,2026-04-04T10:03:00Z,99178,"Go, JavaScript, TypeScript, Python, Shell",300 issues/mês
ant-design/ant-design,2015-04-24T15:37:24Z,99117,"TypeScript, JavaScript, CSS, HTML, Shell",60 issues/mês
TauricResearch/TradingAgents,2024-12-28T03:31:08Z,98922,"Python, Dockerfile",42 issues/mês
mui/material-ui,2014-08-18T19:11:54Z,98865,"JavaScript, TypeScript, CSS, HTML",37 issues/mês
nvbn/thefuck,2015-04-08T15:08:04Z,97715,"Python, Dockerfile, PowerShell, Shell, Batchfile",1 issues/mês
