Repositorio,Criado Em,Estrelas,Linguagens,Frequencia issues
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,97287,"TypeScript, Rust, JavaScript, CSS, HTML",23 issues/mês
florinpop17/app-ideas,2019-02-25T18:36:56Z,96914,Sem linguagem,1 issues/mês
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,96379,"JavaScript, HTML, CSS, Vue, Python",7 issues/mês
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,96006,"Python, Batchfile",11 issues/mês
puppeteer/puppeteer,2017-05-09T22:16:13Z,95465,"TypeScript, JavaScript, HTML, CSS, Dockerfile",12 issues/mês
oven-sh/bun,2021-04-14T00:48:17Z,95458,"Rust, C++, TypeScript, C, JavaScript",Múltiplas issues no mesmo dia
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,94758,JavaScript,1 issues/mês
microsoft/playwright,2019-11-15T18:32:42Z,94744,"TypeScript, HTML, CSS, C++, Objective-C",300 issues/mês
nvm-sh/nvm,2010-04-15T17:47:47Z,94655,"Shell, Makefile, Dockerfile, JavaScript",10 issues/mês
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,94590,"Java, HTML, CSS, PowerShell, Shell",1 issues/mês
karpathy/autoresearch,2026-03-06T22:00:43Z,94153,"Python, Jupyter Notebook",2 issues/mês
earendil-works/pi,2025-08-09T14:03:50Z,93696,"TypeScript, JavaScript, Shell, CSS, C",Múltiplas issues no mesmo dia
punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,92567,Sem linguagem,23 issues/mês
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,92035,Sem linguagem,6 issues/mês
3b1b/manim,2015-03-22T18:50:58Z,91711,"Python, WGSL",3 issues/mês
thedotmack/claude-mem,2025-08-31T20:50:03Z,91238,"JavaScript, TypeScript, Shell, HTML, Dockerfile",300 issues/mês
ruvnet/RuView,2025-06-07T04:32:30Z,90920,"Rust, JavaScript, Python, TypeScript, C",50 issues/mês
storybookjs/storybook,2016-03-18T04:23:44Z,90875,"TypeScript, JavaScript, MDX, Svelte, Vue",100 issues/mês
opencv/opencv,2012-07-19T09:40:17Z,90500,"C++, C, Python, CMake, Java",50 issues/mês
louislam/uptime-kuma,2021-07-03T01:02:42Z,90349,"JavaScript, Vue, TypeScript, SCSS, Dockerfile",50 issues/mês
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,90206,"Vue, JavaScript, SCSS, CSS, Handlebars",1 issues/mês
home-assistant/core,2013-09-17T07:29:48Z,89977,"Python, Shell, Dockerfile, JavaScript, PLSQL",Múltiplas issues no mesmo dia
bitcoin/bitcoin,2010-12-19T15:16:43Z,89944,"C++, Python, C, CMake, Shell",23 issues/mês
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,89858,"Java, TypeScript, Python, CSS, Shell",150 issues/mês
mermaid-js/mermaid,2014-11-01T23:52:32Z,89845,"TypeScript, JavaScript, Mermaid, HTML, Yacc",37 issues/mês
sherlock-project/sherlock,2018-12-24T14:30:48Z,89809,"Python, Dockerfile, Shell",9 issues/mês
modelcontextprotocol/servers,2024-11-19T01:10:17Z,89685,"TypeScript, Python, JavaScript, Dockerfile",23 issues/mês
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,89531,"Jupyter Notebook, HTML, Python, Vue, JavaScript",1 issues/mês
vllm-project/vllm,2023-02-09T11:23:20Z,89451,"Python, Rust, Cuda, C++, Shell",Múltiplas issues no mesmo dia
gohugoio/hugo,2013-07-04T15:26:26Z,89449,"Go, C, JavaScript, HTML, Makefile",37 issues/mês
nexu-io/open-design,2026-04-28T04:25:20Z,89257,"TypeScript, HTML, CSS, JavaScript, Astro",300 issues/mês
gin-gonic/gin,2014-06-16T23:57:25Z,89084,"Go, Makefile",4 issues/mês
zed-industries/zed,2021-02-20T03:01:06Z,88885,"Rust, Python, Inno Setup, Tree-sitter Query, Shell",Múltiplas issues no mesmo dia
astral-sh/uv,2023-10-02T20:24:11Z,88882,"Rust, Python, Shell, Batchfile, Dockerfile",100 issues/mês
infiniflow/ragflow,2023-12-12T06:13:13Z,88828,"Go, Python, TypeScript, C++, C",300 issues/mês
localsend/localsend,2022-12-16T00:46:07Z,88727,"Dart, Rust, Inno Setup, Kotlin, C++",150 issues/mês
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,88623,"TypeScript, SCSS, JavaScript, Rust, Shell",3 issues/mês
addyosmani/agent-skills,2026-02-15T20:20:26Z,88550,"JavaScript, Shell, Python, HTML, TypeScript",33 issues/mês
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,88521,Sem linguagem,2 issues/mês
django/django,2012-04-28T02:47:18Z,88474,"Python, Jinja, JavaScript, CSS, Shell",Sem issues
sveltejs/svelte,2016-11-20T18:13:05Z,87979,"JavaScript, Svelte, TypeScript, CSS, HTML",33 issues/mês
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,87919,"Python, C++, TypeScript, Shell, Swift",15 issues/mês
syncthing/syncthing,2013-11-26T09:48:21Z,87791,"Go, HTML, JavaScript, Shell, CSS",42 issues/mês
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,87326,Sem linguagem,1 issues/mês
odysseus-dev/odysseus,2026-05-31T14:05:51Z,85731,"Python, JavaScript, CSS, HTML, Shell",300 issues/mês
OpenCut-app/OpenCut,2025-06-22T08:02:17Z,85167,"TypeScript, Rust, CSS",15 issues/mês
laravel/laravel,2011-06-08T03:06:08Z,84824,"Blade, PHP, JavaScript, CSS",Sem issues
macrozheng/mall,2018-04-04T01:11:44Z,84574,"Java, Shell, Dockerfile",0 issues/mês
OpenHands/OpenHands,2024-03-13T03:33:31Z,84484,"TypeScript, JavaScript, Python, CSS, Shell",Múltiplas issues no mesmo dia
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,84154,"Python, Shell, HCL, HTML, Groovy",0 issues/mês
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,84120,Sem linguagem,1 issues/mês
realworld-apps/realworld,2016-02-26T20:49:53Z,84108,"TypeScript, Bru, Hurl, CSS, JavaScript",0 issues/mês
koala73/worldmonitor,2026-01-08T17:26:06Z,83161,"TypeScript, JavaScript, CSS, HTML, Shell",300 issues/mês
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,83123,Sem linguagem,Sem issues
animate-css/animate.css,2011-10-12T10:07:38Z,82736,"CSS, HTML, JavaScript, Shell",0 issues/mês
junegunn/fzf,2013-10-23T16:04:23Z,82582,"Go, Ruby, Shell, Vim Script, Nushell",20 issues/mês
fighting41love/funNLP,2018-08-21T11:20:39Z,82547,Python,1 issues/mês
vitejs/vite,2020-04-21T05:03:57Z,82410,"TypeScript, JavaScript, HTML, CSS, Vue",42 issues/mês
tonsky/FiraCode,2014-11-11T19:32:38Z,81933,"Clojure, Shell, Python, HTML, CSS",1 issues/mês
mlabonne/llm-course,2023-06-17T22:16:25Z,81830,Sem linguagem,0 issues/mês
lobehub/lobehub,2023-05-21T07:19:12Z,81824,"TypeScript, HTML, Shell, JavaScript, Gherkin",100 issues/mês
jesseduffield/lazygit,2018-05-19T00:53:06Z,81466,"Go, Shell, Nix, Just, Makefile",30 issues/mês
spring-projects/spring-boot,2012-10-19T15:02:57Z,81324,"Java, Kotlin, HTML, JavaScript, Groovy",60 issues/mês
bytedance/deer-flow,2025-05-07T02:50:19Z,80319,"Python, TypeScript, MDX, HTML, Shell",300 issues/mês
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,80278,Roff,6 issues/mês
netdata/netdata,2013-06-17T18:39:10Z,80229,"Go, C, Rust, Python, Shell",75 issues/mês
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,80174,"Python, ASP.NET, XSLT, Classic ASP, PHP",Sem issues
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,80057,"TypeScript, Vue, Rust, JavaScript, SCSS",33 issues/mês
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,79830,"JavaScript, Shell",2 issues/mês
Egonex-AI/Understand-Anything,2026-03-15T02:30:51Z,79812,"TypeScript, JavaScript, Python, Astro, CSS",27 issues/mês
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,79805,"Python, HTML, TeX, Shell",Sem issues
doocs/advanced-java,2018-10-06T11:38:30Z,79066,Java,0 issues/mês
Z4nzu/hackingtool,2020-04-11T09:21:31Z,79031,"Python, Dockerfile, Shell, Makefile",7 issues/mês
coder/code-server,2019-02-27T16:50:41Z,78945,"TypeScript, Shell, HTML, CSS, HCL",30 issues/mês
paperclipai/paperclip,2026-03-02T15:01:51Z,78868,"TypeScript, JavaScript, Shell, CSS, HTML",Múltiplas issues no mesmo dia
ventoy/Ventoy,2020-03-10T15:19:19Z,78819,"C, Shell, HTML, C++, CSS",21 issues/mês
unclecode/crawl4ai,2024-05-09T09:48:50Z,78694,"Python, JavaScript, Shell, Dockerfile",23 issues/mês
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,78146,Sem linguagem,1 issues/mês
Leonxlnx/taste-skill,2026-02-19T21:44:05Z,78100,"JavaScript, Shell",7 issues/mês
opendatalab/MinerU,2024-02-29T08:52:34Z,77988,"Python, Dockerfile",42 issues/mês
elastic/elasticsearch,2010-02-08T13:20:56Z,77843,"Java, Groovy, StringTemplate, C++, TypeScript",Múltiplas issues no mesmo dia
tensorflow/models,2016-02-05T01:15:20Z,77651,"Python, Jupyter Notebook, C++, Shell, Starlark",1 issues/mês
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,77591,"MDX, Jupyter Notebook, TypeScript, HTML, JavaScript",2 issues/mês
nomic-ai/gpt4all,2023-03-27T18:49:32Z,77403,"C++, QML, Python, CMake, JavaScript",2 issues/mês
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,76841,"JavaScript, SCSS, CSS",4 issues/mês
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,76694,"Java, Python, C++",0 issues/mês
rtk-ai/rtk,2026-01-22T16:54:16Z,76655,"Rust, Shell, TypeScript, Python, Ruby",100 issues/mês
nestjs/nest,2017-02-04T20:12:52Z,76402,"TypeScript, JavaScript, Shell",14 issues/mês
grafana/grafana,2013-12-11T15:59:56Z,76306,"TypeScript, Go, PLpgSQL, CUE, Rich Text Format",Múltiplas issues no mesmo dia
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,76272,Sem linguagem,10 issues/mês
redis/redis,2009-03-21T22:32:25Z,76041,"C, Tcl, Python, Shell, Makefile",37 issues/mês
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,75989,"C++, CMake, Java, Makefile, NSIS",3 issues/mês
ocornut/imgui,2014-07-21T14:29:47Z,75732,"C++, C, Objective-C++, Objective-C, Python",25 issues/mês
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,75729,"Dart, Rust, C++, Shell, CMake",75 issues/mês
typicode/json-server,2013-11-27T13:21:13Z,75690,"JavaScript, HTML",2 issues/mês
openai/openai-cookbook,2022-03-11T02:08:53Z,75354,"Jupyter Notebook, MDX",23 issues/mês
obsproject/obs-studio,2013-10-01T02:40:31Z,75209,"C, C++, CMake, Swift, Objective-C",50 issues/mês
D4Vinci/Scrapling,2024-10-13T20:29:53Z,75177,"Python, Dockerfile",25 issues/mês
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,75044,HTML,1 issues/mês
caddyserver/caddy,2015-01-13T19:45:03Z,75021,"Go, HTML, Shell",10 issues/mês
shareAI-lab/learn-claude-code,2025-06-29T15:34:15Z,74670,"Python, TypeScript, CSS, JavaScript",60 issues/mês
python/cpython,2017-02-10T19:23:51Z,74407,"Python, C, M4, C++, HTML",Múltiplas issues no mesmo dia
enaqx/awesome-react,2014-08-06T05:31:44Z,74335,Sem linguagem,2 issues/mês
apache/superset,2015-07-21T18:55:34Z,74311,"Python, TypeScript, Jupyter Notebook, HTML, JavaScript",100 issues/mês
abi/screenshot-to-code,2023-11-14T17:53:32Z,74231,"Python, TypeScript, HTML, CSS, JavaScript",2 issues/mês
hiyouga/LlamaFactory,2023-05-28T10:09:12Z,74230,"Python, Dockerfile, Makefile",16 issues/mês
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,74072,Python,2 issues/mês
Eugeny/tabby,2016-12-23T09:06:10Z,74004,"TypeScript, Pug, SCSS, JavaScript, C++",50 issues/mês
unionlabs/union,2023-05-16T22:33:39Z,73851,"Rust, TypeScript, Svelte, Move, Solidity",0 issues/mês
twitter/the-algorithm,2023-03-27T14:57:57Z,73834,"Scala, Java, Starlark, Python, Thrift",6 issues/mês
unslothai/unsloth,2023-11-29T16:50:09Z,73777,"Python, TypeScript, PowerShell, Shell, Rust",Múltiplas issues no mesmo dia
datawhalechina/hello-agents,2025-09-07T09:50:24Z,73774,"Python, Jupyter Notebook, Vue, HTML, JavaScript",17 issues/mês
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,73572,"MDX, TypeScript, JavaScript, CSS, Shell",0 issues/mês
vuejs/awesome-vue,2015-10-20T00:16:14Z,73538,Sem linguagem,0 issues/mês
