Repositorio,Criado Em,Estrelas,Tags
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,58898,0
penpot/penpot,2015-12-29T22:09:07Z,58893,325
mvanhorn/last30days-skill,2026-01-23T20:37:37Z,58700,47
rails/rails,2008-04-11T02:19:47Z,58694,552
tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,58606,0
pmndrs/zustand,2019-04-09T09:10:06Z,58585,137
angular/angular.js,2010-01-06T00:34:37Z,58536,209
MemPalace/mempalace,2026-04-05T01:12:07Z,58467,16
FoundationAgents/OpenManus,2025-03-06T14:08:14Z,58015,3
ultralytics/yolov5,2020-05-18T03:45:11Z,57905,10
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,57595,42
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,57537,0
go-gitea/gitea,2016-11-01T02:13:26Z,57494,258
deepfakes/faceswap,2017-12-19T09:44:13Z,57469,6
zylon-ai/private-gpt,2023-05-02T09:15:31Z,57444,25
crewAIInc/crewAI,2023-10-27T03:26:59Z,57326,237
karpathy/nanochat,2025-10-13T13:46:35Z,57313,0
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,57251,1
Textualize/rich,2019-11-10T15:28:09Z,57087,178
appwrite/appwrite,2019-04-08T16:36:25Z,57057,502
FuelLabs/fuel-core,2020-08-27T21:12:14Z,56899,133
soimort/you-get,2012-08-20T15:53:36Z,56872,164
remotion-dev/remotion,2020-06-23T19:49:10Z,56828,907
BerriAI/litellm,2023-07-27T00:09:52Z,56759,1514
ageitgey/face_recognition,2017-03-03T21:52:39Z,56669,2
remix-run/react-router,2014-05-16T22:22:51Z,56557,2005
golang-standards/project-layout,2017-09-09T16:33:26Z,56477,0
makeplane/plane,2022-11-19T12:55:01Z,56142,63
Zie619/n8n-workflows,2025-05-14T08:43:59Z,56123,1
laurent22/joplin,2017-01-16T21:49:41Z,56010,1458
jellyfin/jellyfin,2018-12-09T06:36:45Z,55952,113
gatsbyjs/gatsby,2015-05-21T22:43:05Z,55942,36898
azl397985856/leetcode,2018-03-30T09:13:51Z,55758,41
Raphire/Win11Debloat,2020-10-27T22:26:59Z,55711,38
firstcontributions/first-contributions,2016-09-20T14:35:09Z,55562,0
usestrix/strix,2025-08-05T21:28:30Z,55547,27
typst/typst,2019-09-24T21:41:56Z,55526,30
FlowiseAI/Flowise,2023-03-31T12:23:09Z,55380,307
AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,55134,21
twentyhq/twenty,2022-12-01T13:04:40Z,55130,543
PowerShell/PowerShell,2016-01-13T23:41:35Z,54991,230
romkatv/powerlevel10k,2019-02-24T19:09:45Z,54941,33
ngosang/trackerslist,2016-04-24T11:57:57Z,54905,0
jingyaogong/minimind,2024-07-27T04:34:12Z,54834,2
TryGhost/Ghost,2013-05-04T11:09:13Z,54796,1866
facebookresearch/segment-anything,2023-03-23T17:03:03Z,54710,0
WerWolv/ImHex,2020-11-10T14:27:00Z,54509,82
wagoodman/dive,2018-05-13T15:44:01Z,54476,30
lencx/ChatGPT,2022-12-07T09:43:02Z,54446,49
maybe-finance/maybe,2024-01-01T22:23:46Z,54320,29
psf/requests,2011-02-13T18:38:17Z,54241,162
vuejs/core,2018-06-12T13:49:36Z,54222,294
ElemeFE/element,2016-09-03T06:19:26Z,54056,148
agalwood/Motrix,2018-12-18T11:45:05Z,54001,51
odoo/odoo,2014-05-13T15:38:58Z,53800,0
google/material-design-icons,2014-10-08T18:01:28Z,53782,18
mozilla/pdf.js,2011-04-26T06:32:03Z,53755,109
necolas/normalize.css,2011-05-04T10:20:25Z,53520,27
freqtrade/freqtrade,2017-05-17T23:48:53Z,53435,121
JetBrains/kotlin,2012-02-13T17:29:58Z,53352,46112
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,53179,1
vsouza/awesome-ios,2014-07-10T16:03:45Z,53108,0
ggml-org/whisper.cpp,2022-09-25T18:26:37Z,53035,88
aaif-goose/goose,2024-08-23T19:03:36Z,52996,227
microsoft/VibeVoice,2025-08-25T13:24:01Z,52929,0
