Linguagens,Quantidade de Repositorios
Python,228
TypeScript,174
JavaScript,111
Sem linguagem,87
Go,76
Rust,57
C++,41
Java,41
Jupyter Notebook,24
C,21
Shell,20
Ruby,13
HTML,11
Swift,10
Kotlin,9
C#,8
CSS,8
Dart,6
Vue,6
Markdown,5
MDX,4
Clojure,4
PHP,4
Vim Script,3
Zig,3
Dockerfile,2
Scala,2
PowerShell,2
Makefile,2
Haskell,2
Astro,2
TeX,2
Batchfile,1
Blade,1
Roff,1
Assembly,1
Nunjucks,1
Julia,1
Lua,1
Svelte,1
LLVM,1
V,1
Elixir,1
Objective-C,1
